CST1;CST2;CST3;CST4;CST5;CST6;CST7;Shareable Sample Name;Acinetobacter johnsonii;Acinetobacter lwoffii;Anaerococcus unclassified;Corynebacteriaceae unclassified;Corynebacterium kroppenstedtii;Corynebacterium tuberculostearicum;Corynebacterium tuberculostearicum C<0.8;Corynebacterium unclassified;Corynebacterium unclassified C<0.8;Dolosigranulum unclassified;Enterobacteriaceae unclassified C<0.8;Averyella C<0.8;Erwinia C<0.8;Leclercia C<0.8;Klebsiella C<0.8;Proteus unclassified;Proteus vulgaris;Proteus vulgaris C<0.8;Raoultella C<0.8;Serratia marcescens;unclassified Escherichia;Finegoldia unclassified;Moraxella unclassified;Moraxellaceae unclassified;Moraxellaceae unclassified C<0.8;Peptoniphilus asaccharolyticus;Propionibacterium acnes;Propionibacterium granulosum;Pseudomonas unclassified;Psychrobacter unclassified;Simonsiella unclassified;Simonsiella unclassified C<0.8;Staphylococcus aprophyticus C<0.8;Staphylococcus aureus;Staphylococcus aureus C<0.8;Staphylococcus auricularis C<0.8;Staphylococcus capitis C<0.8;Staphylococcus caprae C<0.8;Staphylococcus epidermidis;Staphylococcus epidermidis C<0.8;Staphylococcus haemolyticus C<0.8;Staphylococcus hominis C<0.8;Staphylococcus lugdunensis;Staphylococcus lugdunensis C<0.8;Staphylococcus pasteuri C<0.8;Staphylococcus pettenkoferi C<0.8;Staphylococcus warneri C<0.8;Stenotrophomonas unclassified;Streptococcus unclassified;Streptococcus unclassified C<0.8
1;0;0;0;0;0;0;GWU_1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2896;1060;189;1;3;55;9;17;0;0;41;18;0;12;0;0;0
1;0;0;0;0;0;0;GWU_2;0;1;9;0;20;0;3;39;6;10;0;0;6;0;2;0;0;0;0;0;0;4;422;0;0;7;26;6;0;0;7;41;0;614;722;74;1;4;42;48;1;0;0;6;2;0;6;54;0;1
1;0;0;0;0;0;0;GWU_3;0;0;1;0;0;1;11;4;7;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;17;4;0;0;0;1;0;705;699;73;21;2;152;110;9;1;0;14;7;4;25;5;1;2
1;0;0;0;0;0;0;GWU_4;0;0;2;0;2;0;1;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;0;0;0;0;0;0;1077;288;111;5;12;204;103;4;1;0;11;11;4;11;0;1;3
1;0;0;0;0;0;0;GWU_5;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;3119;1063;183;0;2;4;7;3;0;0;26;18;0;3;0;12;1
1;0;0;0;0;0;0;GWU_6;0;0;3;2;0;3;4;154;18;152;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;40;0;0;0;25;43;1;833;919;90;20;4;33;34;5;1;0;13;9;2;13;1;0;1
1;0;0;0;0;0;0;GWU_7;0;0;2;4;8;0;1;29;2;4;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;39;0;0;3;2;6;0;81;73;10;0;1;7;6;2;1;0;1;1;0;1;0;0;0
1;0;0;0;0;0;0;GWU_8;0;0;0;0;0;3;13;77;12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;26;0;0;0;0;0;1;1466;1539;553;0;6;43;25;6;0;0;189;17;0;7;0;2;0
1;0;0;0;0;0;0;GWU_9;0;0;0;0;0;0;0;8;0;0;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;1;17;3;1728;976;159;3;7;94;38;4;0;0;31;5;2;5;157;2;1
1;0;0;0;0;0;0;GWU_10;0;0;33;5;11;1;15;67;30;534;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;10;43;1;3;0;8;21;2;847;320;53;2;4;80;16;3;5;0;6;10;1;7;0;13;36
