p,q,ars
0.05,0.05,0.0
0.05,0.09,0.0
0.05,0.14,0.0
0.05,0.18,0.0
0.05,0.23,0.0
0.05,0.28,0.0
0.05,0.32,0.0
0.05,0.37,0.0
0.05,0.41,0.0
0.05,0.46,0.0
0.05,0.51,0.0
0.05,0.55,0.0
0.05,0.6,0.0
0.05,0.64,0.0
0.05,0.69,0.0
0.05,0.74,0.0
0.05,0.78,0.0
0.05,0.83,0.0
0.05,0.87,0.0
0.05,0.92,0.0
0.09,0.05,0.0
0.09,0.09,0.0
0.09,0.14,0.0
0.09,0.18,0.0
0.09,0.23,0.0
0.09,0.28,0.0
0.09,0.32,0.0
0.09,0.37,0.0
0.09,0.41,0.0
0.09,0.46,0.0
0.09,0.51,0.0
0.09,0.55,0.0
0.09,0.6,0.0
0.09,0.64,0.0
0.09,0.69,0.0
0.09,0.74,0.0
0.09,0.78,0.0
0.09,0.83,0.0
0.09,0.87,0.0
0.09,0.92,0.0
0.14,0.05,0.0
0.14,0.09,0.0
0.14,0.14,0.0
0.14,0.18,0.0
0.14,0.23,0.0
0.14,0.28,0.0
0.14,0.32,0.0
0.14,0.37,0.0
0.14,0.41,0.0
0.14,0.46,0.0
0.14,0.51,0.0
0.14,0.55,0.0
0.14,0.6,0.0
0.14,0.64,0.0
0.14,0.69,0.0
0.14,0.74,0.0
0.14,0.78,0.0
0.14,0.83,0.0
0.14,0.87,0.0
0.14,0.92,0.0
0.18,0.05,0.3
0.18,0.09,0.02674979668192982
0.18,0.14,0.0
0.18,0.18,0.0
0.18,0.23,0.0
0.18,0.28,0.0
0.18,0.32,0.0
0.18,0.37,0.0
0.18,0.41,0.0
0.18,0.46,0.0
0.18,0.51,0.0
0.18,0.55,0.0
0.18,0.6,0.0
0.18,0.64,0.0
0.18,0.69,0.0
0.18,0.74,0.0
0.18,0.78,0.0
0.18,0.83,0.0
0.18,0.87,0.0
0.18,0.92,0.0
0.23,0.05,1.0
0.23,0.09,0.024716267339218154
0.23,0.14,0.0
0.23,0.18,0.0
0.23,0.23,0.0
0.23,0.28,0.0
0.23,0.32,0.0
0.23,0.37,0.0
0.23,0.41,0.0
0.23,0.46,0.0
0.23,0.51,0.0
0.23,0.55,0.0
0.23,0.6,0.0
0.23,0.64,0.0
0.23,0.69,0.0
0.23,0.74,0.0
0.23,0.78,0.0
0.23,0.83,0.0
0.23,0.87,0.0
0.23,0.92,0.0
0.28,0.05,1.0
0.28,0.09,0.29399985151522656
0.28,0.14,0.03453633556561324
0.28,0.18,0.0
0.28,0.23,0.0
0.28,0.28,0.0
0.28,0.32,0.0
0.28,0.37,0.0
0.28,0.41,0.0
0.28,0.46,0.0
0.28,0.51,0.0
0.28,0.55,0.0
0.28,0.6,0.0
0.28,0.64,0.0
0.28,0.69,0.0
0.28,0.74,0.0
0.28,0.78,0.0
0.28,0.83,0.0
0.28,0.87,0.0
0.28,0.92,0.0
0.32,0.05,1.0
0.32,0.09,1.0
0.32,0.14,0.024716267339218154
0.32,0.18,0.0
0.32,0.23,0.0
0.32,0.28,0.0
0.32,0.32,0.0
0.32,0.37,0.0
0.32,0.41,0.0
0.32,0.46,0.0
0.32,0.51,0.0
0.32,0.55,0.0
0.32,0.6,0.0
0.32,0.64,0.0
0.32,0.69,0.0
0.32,0.74,0.0
0.32,0.78,0.0
0.32,0.83,0.0
0.32,0.87,0.0
0.32,0.92,0.0
0.37,0.05,1.0
0.37,0.09,1.0
0.37,0.14,0.024716267339218154
0.37,0.18,0.0
0.37,0.23,0.0
0.37,0.28,0.0
0.37,0.32,0.0
0.37,0.37,0.0
0.37,0.41,0.0
0.37,0.46,0.0
0.37,0.51,0.0
0.37,0.55,0.0
0.37,0.6,0.0
0.37,0.64,0.0
0.37,0.69,0.0
0.37,0.74,0.0
0.37,0.78,0.0
0.37,0.83,0.0
0.37,0.87,0.0
0.37,0.92,0.0
0.41,0.05,1.0
0.41,0.09,1.0
0.41,0.14,0.5
0.41,0.18,0.0
0.41,0.23,0.03221234311998543
0.41,0.28,0.0
0.41,0.32,0.0
0.41,0.37,0.0
0.41,0.41,0.0
0.41,0.46,0.0
