,agreement,ars,block_sizes,dataset_name,dataset_type,Lower bound,max_order,Number of cuts,order_best,p,percentile_orders,preprocessing_name,q,seed,unique_id
0,50.0,0.0,"[100, 100]",sbm,graph,0.2,5160.0,50.0,3315.0,0.28,100.0,fid_mat,0.83,42.0,1589802894
1,50.0,0.0,"[100, 100]",sbm,graph,0.3,7616.0,50.0,6087.0,0.6,100.0,fid_mat,0.92,42.0,1589802894
2,50.0,0.0,"[100, 100]",sbm,graph,0.4,5311.0,50.0,4722.0,0.18,100.0,fid_mat,0.87,42.0,1589802894
3,50.0,0.0,"[100, 100]",sbm,graph,0.4,4887.0,50.0,4252.0,0.28,100.0,fid_mat,0.69,42.0,1589802894
4,50.0,0.5908788593296834,"[100, 100]",sbm,graph,0.4,7805.0,50.0,7604.0,0.87,100.0,fid_mat,0.78,42.0,1589802894
5,50.0,0.002109572614719441,"[100, 100]",sbm,graph,0.3,6440.0,50.0,5078.0,0.6,100.0,fid_mat,0.69,42.0,1589802894
6,50.0,0.6064420988838948,"[100, 100]",sbm,graph,0.4,1852.0,50.0,1353.0,0.23,100.0,fid_mat,0.14,42.0,1589802894
7,50.0,0.0,"[100, 100]",sbm,graph,0.4,8167.0,50.0,7856.0,0.83,100.0,fid_mat,0.87,42.0,1589802894
8,50.0,0.0,"[100, 100]",sbm,graph,0.2,6917.0,50.0,4129.0,0.69,100.0,fid_mat,0.69,42.0,1589802894
9,50.0,0.0,"[100, 100]",sbm,graph,0.4,3326.0,50.0,2692.0,0.14,100.0,fid_mat,0.51,42.0,1589802894
10,50.0,0.0032721306872838104,"[100, 100]",sbm,graph,0.4,4803.0,50.0,4598.0,0.55,100.0,fid_mat,0.51,42.0,1589802894
11,50.0,0.0,"[100, 100]",sbm,graph,0.4,4551.0,50.0,4379.0,0.46,100.0,fid_mat,0.55,42.0,1589802894
12,50.0,0.0,"[100, 100]",sbm,graph,0.3,5330.0,50.0,4187.0,0.18,100.0,fid_mat,0.87,42.0,1589802894
13,50.0,1.0,"[100, 100]",sbm,graph,0.3,6205.0,50.0,4126.0,0.83,100.0,fid_mat,0.41,42.0,1589802894
14,50.0,1.0,"[100, 100]",sbm,graph,0.2,5339.0,50.0,2798.0,0.78,100.0,fid_mat,0.28,42.0,1589802894
15,50.0,-0.004766807667894866,"[100, 100]",sbm,graph,0.4,5841.0,50.0,5099.0,0.41,100.0,fid_mat,0.74,42.0,1589802894
16,50.0,0.0038556240383019157,"[100, 100]",sbm,graph,0.3,4863.0,50.0,3670.0,0.51,100.0,fid_mat,0.46,42.0,1589802894
17,50.0,1.0,"[100, 100]",sbm,graph,0.4,5051.0,50.0,913.0,0.92,100.0,fid_mat,0.09,42.0,1589802894
18,50.0,0.3454039897177635,"[100, 100]",sbm,graph,0.3,5088.0,50.0,4717.0,0.64,100.0,fid_mat,0.51,42.0,1589802894
19,50.0,0.0,"[100, 100]",sbm,graph,0.4,7144.0,50.0,6411.0,0.64,100.0,fid_mat,0.78,42.0,1589802894
20,50.0,0.0,"[100, 100]",sbm,graph,0.3,8796.0,50.0,7152.0,0.83,100.0,fid_mat,0.92,42.0,1589802894
21,50.0,0.09852410666160644,"[100, 100]",sbm,graph,0.3,8960.0,50.0,7377.0,0.92,100.0,fid_mat,0.87,42.0,1589802894
22,50.0,1.0,"[100, 100]",sbm,graph,0.2,4181.0,50.0,2323.0,0.6,100.0,fid_mat,0.23,42.0,1589802894
23,50.0,1.0,"[100, 100]",sbm,graph,0.4,5778.0,50.0,3217.0,0.83,100.0,fid_mat,0.32,42.0,1589802894
24,50.0,0.0,"[100, 100]",sbm,graph,0.2,8403.0,50.0,5432.0,0.87,100.0,fid_mat,0.87,42.0,1589802894
25,50.0,0.4142658118100094,"[100, 100]",sbm,graph,0.3,6188.0,50.0,4582.0,0.78,100.0,fid_mat,0.46,42.0,1589802894
26,50.0,1.0,"[100, 100]",sbm,graph,0.3,1958.0,50.0,1828.0,0.41,100.0,fid_mat,0.18,42.0,1589802894
27,50.0,0.0,"[100, 100]",sbm,graph,0.2,2317.0,50.0,1208.0,0.09,100.0,fid_mat,0.37,42.0,1589802894
28,50.0,1.0,"[100, 100]",sbm,graph,0.3,913.0,50.0,913.0,0.92,100.0,fid_mat,0.09,42.0,1589802894
29,50.0,-0.003962913832376997,"[100, 100]",sbm,graph,0.4,6226.0,50.0,5456.0,0.6,100.0,fid_mat,0.64,42.0,1589802894
